accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	completeness	geoLocAdmin2	geoLocCity	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	diagnosticMeasurementValue	diagnosticMeasurementUnit	diagnosticMeasurementMethod
PP_00194HA.1	A.3	1998-03-05	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15088	2011-10-23	JF920056.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9140229885057471					0	1242			
PP_00194J8.1	A.3	1998-03-21	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15149	2011-10-23	JF920057.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.999080459770115					0	0			
PP_00194L4.1	A.2	1998-03-09	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15097	2011-10-23	JF920059.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.8402627257799672					0	2369			
PP_00194M2.1	A.2	1998-11-14	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15104	2011-10-23	JF920060.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.6021018062397373					3	6000			
PP_00194N0.1	A.2	1998-05-02	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15114	2011-10-23	JF920061.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.8042692939244663					0	2927			
PP_00194PY.1	A.3	1998-01-06	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15150	2011-10-23	JF920062.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9977668308702792					0	23			
PP_00194QW.1	A.3	1998-02-18	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15096	2011-10-23	JF920063.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9525779967159278					0	657			
PP_00194RU.1	A.3	1998-04-14	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15066	2011-10-23	JF920064.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.7598686371100164					0	3561			
PP_00194SS.1	A.3	1998-01-09	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15151	2011-10-23	JF920065.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9992118226600986					1	0			
PP_00194TQ.1	A.3	1998-01-27	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15117	2011-10-23	JF920066.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9725451559934318					6	370			
PP_00194UN.1	A.3	1998-05-17	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15052	2011-10-23	JF920067.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9296551724137931					2	961			
PP_00194VL.1	A.3	1998-03-29	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15081	2011-10-23	JF920068.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.8480788177339902					2	2231			
PP_0019D02.1	A.3	2001-01-03	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15207	2012-11-01	JQ901447.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9999343185550083					1	0			
PP_0019D10.1	A.2.1.1	2001-01-07	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15213	2012-11-01	JQ901448.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0					0	0			
PP_0019D2Y.1	A.2.1.1	2001-01-10	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15213	2012-11-01	JQ901449.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9999343185550083				01-000868	1	0			
PP_0019D3W.1	A.2.1.1	2001-01-24	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15220	2012-11-01	JQ901450.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				01-002215	0	0			
PP_0019D4U.1	A.2.1	2001-01-24	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15212	2012-11-01	JQ901451.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				01-002279	0	0			
PP_0019D5S.1	A.3	2001-12-22	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15216	2012-11-01	JQ901452.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9999343185550083				01-031282	0	1			
PP_0019D6Q.1	A.3	2002-01-03	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15216	2012-11-01	JQ901453.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				02-000110	0	0			
PP_0019D7N.1	A.2.1	2002-01-04	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15212	2012-11-01	JQ901454.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				02-00291	0	0			
PP_0019D8L.1	A.2.1	2002-06-29	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15212	2012-11-01	JQ901455.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				02-017863	0	0			
PP_0019D9J.1	A.2.1.1	2003-11-25	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15211	2012-11-01	JQ901456.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				03-033338	0	0			
PP_0019DAG.1	A.3	2003-12-22	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15212	2012-11-01	JQ901457.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				03-036456	0	0			
PP_0019DBE.1	A.3	2003-12-23	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15217	2012-11-01	JQ901458.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9999343185550083				03-036544	1	0			
PP_0019DMT.1	A.3.1	2011-01-03	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015479.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				11-000271	0	0			
PP_0019DNR.1	A.3	2007-12-10	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15214	2012-11-01	JX015480.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				07-040054	0	0			
PP_0019DPP.1	A.3.1	2009-01-07	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15206	2012-11-01	JX015481.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				09-000457	0	0			
PP_0019DQM.1	A.3.1	2006-11-22	Belgium		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15121	2012-11-01	JX015482.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9979638752052545				BE06-6650	0	0			
PP_0019DRK.1	A.3.1	2008-12-29	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15207	2012-11-01	JX015483.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-047045	0	0			
PP_0019DSH.1	A.3.1	2007-11-06	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015484.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9998686371100164				RSV572	2	0			
PP_0019DTF.1	A.2.1	2005-01-04	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15211	2012-11-01	JX015485.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9999343185550083				05-000257	1	0			
PP_0019DUD.1	A.3	2005-01-05	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15212	2012-11-01	JX015486.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				05-000417	0	0			
PP_0019DVB.1	A.2.1.1	2006-01-02	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15211	2012-11-01	JX015487.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				06-000103	0	0			
PP_0019DW9.1	A.2.1	2006-01-09	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15211	2012-11-01	JX015488.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				06-000827	0	0			
PP_0019DX7.1	A.3.1	2007-12-03	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015489.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				07-039193	0	0			
PP_0019DY5.1	A.3.1	2007-11-19	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015490.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				RSV597	0	0			
PP_0019DZ3.1	A.3.1	2007-11-23	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015491.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				RSV607	0	0			
PP_0019E01.1	A.3.1	2007-12-24	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015492.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				07-041785	0	0			
PP_0019E1Z.1	A.3.1	2008-01-07	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015493.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-000507	0	0			
PP_0019E2X.1	A.3.1	2008-01-14	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015494.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-001411	0	0			
PP_0019E3V.1	A.3.1	2008-11-21	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015495.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-042544	0	0			
PP_0019E4T.1	A.3.1	2008-11-26	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15205	2012-11-01	JX015496.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-042735	0	0			
PP_0019E5R.1	A.3.1	2008-12-06	Netherlands		Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15206	2012-11-01	JX015497.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0				08-044640	0	0			
