accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	diagnosticMeasurementValue	diagnosticMeasurementMethod	diagnosticMeasurementUnit
PP_00228A0.1	B.D	2010-12-21	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15279	2013-06-08	JX576737.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576737.1				0	0			
PP_00228BY.1	B.D	2010-12-12	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576738.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576738.1				0	0			
PP_00228CW.1	B.D.1	2009-12-28	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15274	2013-06-08	JX576739.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576739.1				0	0			
PP_00228DU.1	B.D	2009-12-28	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15274	2013-06-08	JX576740.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576740.1				0	0			
PP_00228ES.1	B.D	2009-12-22	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576741.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576741.1				0	0			
PP_00228FQ.1	B.D.1	2009-12-20	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576742.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576742.1				0	0			
PP_00228GN.1	B.D	2009-12-18	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576743.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576743.1				0	0			
PP_00228HK.1	B.D	2008-12-22	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576744.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576744.1				0	0			
PP_00228JH.1	B.D	2008-12-17	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15279	2013-06-08	JX576745.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576745.1				0	0			
PP_00228KF.1	B.D	2008-12-15	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576746.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576746.1				0	0			
PP_00228LD.1	B.D	2008-12-12	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15283	2013-06-08	JX576747.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576747.1				0	0			
PP_00228MB.1	B.D	2007-11-27	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576748.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576748.1				0	0			
PP_00228N9.1	B.D	2007-11-23	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576749.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576749.1				0	0			
PP_00228P7.1	B.D	2007-03-14	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15285	2013-06-08	JX576750.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576750.1				0	0			
PP_00228Q5.1	B.D	2007-01-05	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576751.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576751.1				0	0			
PP_00228R3.1	B.D	2006-12-21	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15278	2013-06-08	JX576752.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576752.1				0	0			
PP_00228S1.1	B.D	2006-11-17	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576753.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576753.1				0	0			
PP_00228TZ.1	B.D	2005-12-31	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576754.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576754.1				0	0			
PP_00228UX.1	B.D	2005-12-26	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576755.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576755.1				0	0			
PP_00228VV.1	B.D	2005-12-20	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15274	2013-06-08	JX576756.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576756.1				0	0			
PP_00228WT.1	B.D	2005-01-14	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15278	2013-06-08	JX576757.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576757.1				0	0			
PP_00228XR.1	B.D	2005-12-14	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15283	2013-06-08	JX576758.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576758.1				0	0			
PP_00228YP.1	B.D	2003-12-05	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15277	2013-06-08	JX576759.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576759.1				0	0			
PP_00228ZM.1	B	2003-01-01	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15216	2013-06-08	JX576760.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576760.1				0	0			
PP_002290K.1	B.D	2002-10-21	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15281	2013-06-08	JX576761.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576761.1				0	0			
PP_002291H.1	B.D	2002-01-08	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15283	2013-06-08	JX576762.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576762.1				0	0			
PP_0022Z2R.1	B.D	2006	South Africa		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Venter, M.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15201	2013-08-30	KF530259.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9985547234266193			KF530259.1				0	0			
PP_0022Z3P.1	B.D	2009-02-10	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15105	2013-08-30	KF530262.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9922480620155039			KF530262.1				0	0			
PP_0022Z4M.1	B.D	2009-03-01	Germany	Freiburg	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	14725	2013-08-30	KF530265.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9235974247799238			KF530265.1				0	667			
PP_0022Z5K.1	B.D	2008-03-01	Germany	Freiburg	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15124	2013-08-30	KF530266.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9935619498094863			KF530266.1				0	0			
PP_0022Z6H.1	B.D	2005-01-06	United Kingdom		Lemon, K.; Nguyen, D. T.; Ludlow, M.; Rennick, L. J.; Yuksel, S.; van Amerongen, G.; McQuaid, S.; Rima, B. K.; de Swart, R. L.; Duprex, W. P.	Queen's University Belfast, Centre for Infection & Immunity	Homo sapiens	15277	2013-12-07	KF640637.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KF640637.1			B05	0	0			
PP_0022Z7F.1	B.D	2009-03-05	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15094	2013-11-25	KF826818.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.8602023387202733			KF826818.1				0	2001			
PP_0022Z8D.1	B.D	2009-03-19	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15203	2013-11-25	KF826819.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9387071344107213			KF826819.1				0	914			
PP_0022Z9B.1	B.D	2009-03-31	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	14647	2013-11-25	KF826820.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9622257259230061			KF826820.1				0	0			
PP_0022ZA9.1	B.D	2007	USA	SE Wisconsin	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15269	2013-11-25	KF826822.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9999343056103008			KF826822.1				1	0			
PP_0022ZB7.1	B.D	2004-10-18	Mexico		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15259	2013-11-25	KF826825.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KF826825.1				0	0			
PP_0022ZC5.1	B.D	2005-12-13	Mexico		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15215	2013-11-25	KF826829.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9989488897648141			KF826829.1				0	0			
PP_0022ZD3.1	B.D	2009-02-02	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15218	2013-11-25	KF826834.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9989488897648141			KF826834.1				0	0			
PP_0022ZE1.1	B.D	2009-02-03	Italy	Pavia	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15238	2013-11-25	KF826835.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9988175009854159			KF826835.1				0	0			
PP_0022ZFZ.1	B.D	2006-07-25	Argentina		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15278	2013-11-25	KF826839.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KF826839.1				0	0			
