target,gene,clade,n_tips,rLR,rp,rK,rpos,bLR,bp,bpos
RSVB,NS2,B.D.E.1.4,2,,,,,,,
RSVB,NS2,B.D.E.1.3,1,,,,,,,
RSVB,NS2,B.D.E.1.2,9,0.6229120403922934,0.4299672076579784,0.2547612344834797,NS,0.009051133472439687,0.4977423291051563,NS
RSVB,NS2,B.D.E.1.1,4,,,,,,,
RSVB,NS2,B.D.E.1,128,0.03896770067785837,0.8435126652305716,1.032146516395813,NS,41.70630391761642,4.390977026424991e-10,B-diversifying
RSVB,NS2,B.D.4.1.3,4,,,,,,,
RSVB,NS2,B.D.4.1.1,17,0.02590811392065007,0.8721249239532016,0.9560139528014088,NS,1.450901658363819,0.2420531352453494,NS
RSVB,NS2,B.D.4.1,3,,,,,,,
RSVB,NS1,B.D.E.7,1,,,,,,,
RSVB,NS1,B.D.E.6,0,,,,,,,
RSVB,NS1,B.D.E.5,2,,,,,,,
RSVB,NS1,B.D.E.1.8,0,,,,,,,
RSVB,NS1,B.D.E.1.7,0,,,,,,,
RSVB,NS1,B.D.E.1.4,0,,,,,,,
RSVB,NS1,B.D.E.1.3,0,,,,,,,
RSVB,NS1,B.D.E.1.2,4,,,,,,,
RSVB,NS1,B.D.E.1.1,2,,,,,,,
RSVB,NS1,B.D.E.1,74,1.296493266933794,0.2548547636613886,2.423275948147201,NS,0.5714764504327832,0.375729651642731,NS
RSVB,NS1,B.D.4.1.3,3,,,,,,,
RSVB,NS1,B.D.4.1.1,13,0.1006580843136362,0.7510413318963749,0.4103720618132637,NS,0,0.5,NS
RSVB,NS1,B.D.4.1,0,,,,,,,
RSVB,N,B.D.E.7,1,,,,,,,
RSVB,N,B.D.E.6,1,,,,,,,
RSVB,N,B.D.E.5,2,,,,,,,
RSVB,N,B.D.E.1.8,3,,,,,,,
RSVB,N,B.D.E.1.7,3,,,,,,,
RSVB,N,B.D.E.1.4,3,,,,,,,
RSVB,N,B.D.E.1.3,3,,,,,,,
RSVB,N,B.D.E.1.2,12,2.414562717043736,0.120211533824786,13.03773929228046,NS,0,0.5,NS
RSVB,N,B.D.E.1.1,3,,,,,,,
RSVB,N,B.D.E.1,163,0.4645037838663484,0.4955266116176289,0.8433871975224287,NS,0,0.5,NS
RSVB,N,B.D.4.1.3,5,3.953855399304302,0.04676411099530897,0,R-relaxed,0.6521468589417054,0.3608760937950903,NS
RSVB,N,B.D.4.1.1,19,0.03990925591187988,0.8416581099667088,1.064213634739124,NS,-0.0004220755845381063,0.5,NS
RSVB,N,B.D.4.1,4,,,,,,,
RSVB,M2-2,B.D.E.7,1,,,,,,,
RSVB,M2-2,B.D.E.6,1,,,,,,,
RSVB,M2-2,B.D.E.5,2,,,,,,,
RSVB,M2-2,B.D.E.1.8,0,,,,,,,
RSVB,M2-2,B.D.E.1.7,1,,,,,,,
RSVB,M2-2,B.D.E.1.4,0,,,,,,,
RSVB,M2-2,B.D.E.1.3,0,,,,,,,
RSVB,M2-2,B.D.E.1.2,4,,,,,,,
RSVB,M2-2,B.D.E.1.1,0,,,,,,,
RSVB,M2-2,B.D.E.1,49,0.1542111766650578,0.6945430583013105,0.7366351400657526,NS,0.0251156405618076,0.4937603500590949,NS
RSVB,M2-2,B.D.4.1.3,3,,,,,,,
RSVB,M2-2,B.D.4.1.1,7,0.5892084797383177,0.4427253580511331,0.1020469696187787,NS,0,0.5,NS
RSVB,M2-2,B.D.4.1,1,,,,,,,
RSVB,M2-1,B.D.E.7,0,,,,,,,
RSVB,M2-1,B.D.E.6,0,,,,,,,
RSVB,M2-1,B.D.E.5,1,,,,,,,
RSVB,M2-1,B.D.E.1.8,2,,,,,,,
RSVB,M2-1,B.D.E.1.7,1,,,,,,,
RSVB,M2-1,B.D.E.1.4,0,,,,,,,
RSVB,M2-1,B.D.E.1.3,0,,,,,,,
RSVB,M2-1,B.D.E.1.2,7,1.160017670832531,0.2814618757463786,13.53231338896634,NS,0,0.5,NS
RSVB,M2-1,B.D.E.1.1,1,,,,,,,
RSVB,M2-1,B.D.E.1,94,0.02808211419414874,0.866915918137634,1.034835603934148,NS,0,0.5,NS
RSVB,M2-1,B.D.4.1.3,3,,,,,,,
RSVB,M2-1,B.D.4.1.1,15,1.04891290111118,0.3057575884371814,0.7867566284496658,NS,0,0.5,NS
RSVB,M2-1,B.D.4.1,2,,,,,,,
RSVB,M,B.D.E.7,1,,,,,,,
RSVB,M,B.D.E.6,1,,,,,,,
RSVB,M,B.D.E.5,1,,,,,,,
RSVB,M,B.D.E.1.8,1,,,,,,,
RSVB,M,B.D.E.1.7,0,,,,,,,
RSVB,M,B.D.E.1.4,2,,,,,,,
RSVB,M,B.D.E.1.3,2,,,,,,,
RSVB,M,B.D.E.1.2,5,2.964896234571825,0.0850899171080427,0.3243949629646132,NS,0.3567391242795566,0.4183165891967695,NS
RSVB,M,B.D.E.1.1,3,,,,,,,
RSVB,M,B.D.E.1,142,0.8512740810128889,0.3561921562112376,1.128613124512921,NS,0,0.5,NS
RSVB,M,B.D.4.1.3,2,,,,,,,
RSVB,M,B.D.4.1.1,15,0.2464615536173369,0.6195777009598815,0.9264621259568626,NS,0,0.5,NS
RSVB,M,B.D.4.1,1,,,,,,,
RSVB,L,B.D.E.7,1,,,,,,,
RSVB,L,B.D.E.6,1,,,,,,,
RSVB,L,B.D.E.5,1,,,,,,,
RSVB,L,B.D.E.1.7,3,,,,,,,
RSVB,L,B.D.E.1.4,3,,,,,,,
RSVB,L,B.D.E.1.1,4,,,,,,,
RSVB,G,B.D.E.7,0,,,,,,,
RSVB,G,B.D.E.6,0,,,,,,,
RSVB,G,B.D.E.5,1,,,,,,,
RSVB,G,B.D.E.1.8,3,,,,,,,
RSVB,G,B.D.E.1.7,1,,,,,,,
RSVB,G,B.D.E.1.4,2,,,,,,,
RSVB,G,B.D.E.1.3,4,,,,,,,
RSVB,G,B.D.E.1.2,10,0.08404036413412541,0.7718949133905105,1.067433079201557,NS,0.2264134276047116,0.4464830263112692,NS
RSVB,G,B.D.E.1.1,2,,,,,,,
RSVB,G,B.D.E.1,173,11.06998810543337,0.0008773624509638145,0.7471884914967952,R-relaxed,26.62604310036841,8.264150310743901e-07,B-diversifying
RSVB,G,B.D.4.1.3,12,6.794175510205605,0.009145575013543294,2.014768343806797,R-intensified,4.548270123183102,0.05144292994911498,NS
RSVB,G,B.D.4.1.1,21,3.802034879996427,0.0511903358396697,1.229727968489464,NS,1.609392642012608,0.2236118591798883,NS
RSVB,G,B.D.4.1,5,1.520032788310345,0.2176145315293434,0,NS,-0.002283878489834024,0.5,NS
RSVB,F,B.D.E.7,1,,,,,,,
RSVB,F,B.D.E.6,1,,,,,,,
RSVB,F,B.D.E.5,2,,,,,,,
RSVB,F,B.D.E.1.8,5,1.11652474379116,0.2906679990368531,8.512550895538195e-07,NS,0,0.5,NS
RSVB,F,B.D.E.1.7,2,,,,,,,
RSVB,F,B.D.E.1.4,1,,,,,,,
RSVB,F,B.D.E.1.2,10,0.4510664970512153,0.5018289266278443,1.35844960543297,NS,0,0.5,NS
RSVB,F,B.D.E.1.1,3,,,,,,,
RSVB,F,B.D.E.1,230,1.80072277099498,0.1796251400125098,2.075211158020434,NS,1.796202098033973,0.2036712245385821,NS
RSVB,F,B.D.4.1.3,13,0.1158813610327343,0.7335451424988104,1.247134629167143,NS,0,0.5,NS
RSVB,F,B.D.4.1.1,27,0.5773261710164661,0.4473622891738188,0.5005505025666189,NS,0,0.5,NS
RSVB,F,B.D.4.1,4,,,,,,,
RSVA,SH,A.D.5.2,8,0.6030381657412818,0.437421170559724,0.6952892609152876,NS,0,0.5,NS
RSVA,SH,A.D.5.1,1,,,,,,,
RSVA,SH,A.D.3.9,5,3.937125759729952,0.0472314111269897,0,R-relaxed,0.9701847961189287,0.3078201550731278,NS
RSVA,SH,A.D.3.7,4,,,,,,,
RSVA,SH,A.D.3.4,1,,,,,,,
RSVA,SH,A.D.3.3,4,,,,,,,
RSVA,SH,A.D.3.2,1,,,,,,,
RSVA,SH,A.D.3.12,3,,,,,,,
RSVA,SH,A.D.3.10,0,,,,,,,
RSVA,SH,A.D.3.1,2,,,,,,,
RSVA,SH,A.D.3,9,1.59152472256892,0.2071084287754782,0.5514624190938113,NS,0,0.5,NS
RSVA,SH,A.D.2.1,2,,,,,,,
RSVA,SH,A.D.1.9,5,0.207330113263879,0.6488681307653263,0.7828242287819224,NS,0,0.5,NS
RSVA,SH,A.D.1.8,1,,,,,,,
RSVA,SH,A.D.1.6,4,,,,,,,
RSVA,SH,A.D.1.5,8,4.667002683388546,0.0307475444027403,17.45010966030408,R-intensified,0,0.5,NS
RSVA,SH,A.D.1.4,2,,,,,,,
RSVA,SH,A.D.1.11,0,,,,,,,
RSVA,SH,A.D.1.10,3,,,,,,,
RSVA,SH,A.D.1,1,,,,,,,
RSVA,SH,A.D,0,,,,,,,
RSVA,P,A.D.5.2,29,3.796564489906814,0.05135785688613748,2.924455001846265,NS,0.7029010952319368,0.3518333235397253,NS
RSVA,P,A.D.5.1,1,,,,,,,
RSVA,P,A.D.3.9,8,2.565825995958221,0.1091955100424707,0,NS,0.603948936107372,0.3696784709283738,NS
RSVA,P,A.D.3.7,5,5.681295838010556,0.01714669929530466,0,R-relaxed,0.002473780997206632,0.4993819370675483,NS
RSVA,P,A.D.3.4,6,1.571656138436083,0.2099666652622491,3.456029571899986,NS,4.306518279933698,0.05805256879043086,NS
RSVA,P,A.D.3.3,15,0.8789815817408453,0.3484807677658157,0.2117286430200191,NS,0,0.5,NS
RSVA,P,A.D.3.2,5,1.55577667191119,0.2122846697581307,0.289950559391315,NS,0,0.5,NS
RSVA,P,A.D.3.12,3,,,,,,,
RSVA,P,A.D.3.10,0,,,,,,,
RSVA,P,A.D.3.1,5,0.4169378934602719,0.5184689440333663,0.2902920816719887,NS,0,0.5,NS
RSVA,P,A.D.3,14,5.265209396013233,0.02175580534382737,5.150483622718598,R-intensified,2.15156628571367,0.1705152875007199,NS
RSVA,P,A.D.2.1,3,,,,,,,
RSVA,P,A.D.1.9,12,3.504140889972405,0.0612155875886724,0.1510140480544306,NS,0,0.5,NS
RSVA,P,A.D.1.8,1,,,,,,,
RSVA,P,A.D.1.6,6,2.278987790027713,0.1311374347171421,13.74604898029573,NS,0,0.5,NS
RSVA,P,A.D.1.5,14,0.8699263520211389,0.3509756983703908,3.104922198407063,NS,0.7677705178211909,0.3406047927044279,NS
RSVA,P,A.D.1.4,1,,,,,,,
RSVA,P,A.D.1.11,1,,,,,,,
RSVA,P,A.D.1.10,4,,,,,,,
RSVA,P,A.D.1,4,,,,,,,
RSVA,P,A.D,0,,,,,,,
RSVA,NS2,A.D.5.2,19,4.422311535698555,0.03547195232638123,1.843032790026788,R-intensified,10.38721023814151,0.00277597761653281,B-diversifying
RSVA,NS2,A.D.5.1,0,,,,,,,
RSVA,NS2,A.D.3.9,5,0.2214668523206456,0.6379245163243529,2.072044729856058,NS,0.1279910007115177,0.4690046101128988,NS
RSVA,NS2,A.D.3.7,4,,,,,,,
RSVA,NS2,A.D.3.4,2,,,,,,,
RSVA,NS2,A.D.3.3,8,4.562019853071888,0.03268849995614942,15.29321502659417,R-intensified,0,0.5,NS
RSVA,NS2,A.D.3.2,8,2.413533181881576,0.1202905970384579,9.945352442305589e-07,NS,0,0.5,NS
RSVA,NS2,A.D.3.12,3,,,,,,,
RSVA,NS2,A.D.3.10,0,,,,,,,
RSVA,NS2,A.D.3.1,1,,,,,,,
RSVA,NS2,A.D.3,13,9.083265918244251,0.002579589630695489,0.1916345599946724,R-relaxed,0.01707433857018259,0.4957495844311677,NS
RSVA,NS2,A.D.2.1,2,,,,,,,
RSVA,NS2,A.D.1.9,12,0.0670906053978797,0.7956209337056037,1.230599860629824,NS,1.576025396159821,0.2273738093406685,NS
RSVA,NS2,A.D.1.8,1,,,,,,,
RSVA,NS2,A.D.1.6,7,0.6345698953191459,0.4256839844912619,1.487743546808698,NS,3.793128509240887,0.07504169133132127,NS
RSVA,NS2,A.D.1.5,10,6.968980479595302,0.008293473563193321,0.1231794085945768,R-relaxed,0.3698258786689621,0.4155883217426063,NS
RSVA,NS2,A.D.1.4,3,,,,,,,
RSVA,NS2,A.D.1.11,1,,,,,,,
RSVA,NS2,A.D.1.10,1,,,,,,,
RSVA,NS2,A.D.1,1,,,,,,,
RSVA,NS2,A.D,0,,,,,,,
RSVA,NS1,A.D.5.2,17,0.4880566653214373,0.4847954645516676,0.7365827044192557,NS,0,0.5,NS
RSVA,NS1,A.D.5.1,1,,,,,,,
RSVA,NS1,A.D.3.9,4,,,,,,,
RSVA,NS1,A.D.3.7,5,4.411928037240386,0.03568848308083128,1.907376144426499e-14,R-relaxed,1.127109755577521,0.284591045184334,NS
RSVA,NS1,A.D.3.4,2,,,,,,,
RSVA,NS1,A.D.3.3,7,1.693903701677755,0.1930871738109727,0.4519734982749165,NS,3.702925441088837,0.07850367018140769,NS
RSVA,NS1,A.D.3.2,6,2.537422933365178,0.1111761103280194,18.60164885239649,NS,0,0.5,NS
RSVA,NS1,A.D.3.12,2,,,,,,,
RSVA,NS1,A.D.3.10,0,,,,,,,
RSVA,NS1,A.D.3.1,2,,,,,,,
RSVA,NS1,A.D.3,10,0.008953085329949317,0.924616071870876,1.040125928141646,NS,-0.00177112628125542,0.5,NS
RSVA,NS1,A.D.2.1,1,,,,,,,
RSVA,NS1,A.D.1.9,3,,,,,,,
RSVA,NS1,A.D.1.8,1,,,,,,,
RSVA,NS1,A.D.1.6,2,,,,,,,
RSVA,NS1,A.D.1.5,6,1.099953728279615,0.2942762592939033,0.4947014238960852,NS,0,0.5,NS
RSVA,NS1,A.D.1.4,1,,,,,,,
RSVA,NS1,A.D.1.11,1,,,,,,,
RSVA,NS1,A.D.1.10,3,,,,,,,
RSVA,NS1,A.D.1,1,,,,,,,
RSVA,NS1,A.D,0,,,,,,,
RSVA,N,A.D.5.2,3,,,,,,,
RSVA,N,A.D.5.1,0,,,,,,,
RSVA,N,A.D.3.9,1,,,,,,,
RSVA,N,A.D.3.7,1,,,,,,,
RSVA,N,A.D.3.4,1,,,,,,,
RSVA,N,A.D.3.3,4,,,,,,,
RSVA,N,A.D.3.2,2,,,,,,,
RSVA,N,A.D.3.12,2,,,,,,,
RSVA,N,A.D.3.10,0,,,,,,,
RSVA,N,A.D.3.1,0,,,,,,,
RSVA,N,A.D.3,3,,,,,,,
RSVA,N,A.D.2.1,3,,,,,,,
RSVA,N,A.D.1.9,5,0.565120236342409,0.4522045466129092,9.714332319566411,NS,0,0.5,NS
RSVA,N,A.D.1.8,0,,,,,,,
RSVA,N,A.D.1.6,2,,,,,,,
RSVA,N,A.D.1.5,1,,,,,,,
RSVA,N,A.D.1.4,0,,,,,,,
RSVA,N,A.D.1.11,0,,,,,,,
RSVA,N,A.D.1.10,3,,,,,,,
RSVA,N,A.D.1,0,,,,,,,
RSVA,N,A.D,0,,,,,,,
RSVA,M2-2,A.D.5.2,16,1.570707780016846,0.2101042567335495,1.543786564551655,NS,0,0.5,NS
RSVA,M2-2,A.D.5.1,0,,,,,,,
RSVA,M2-2,A.D.3.9,5,0.01060300217432086,0.9179860822949881,1.07980407913759,NS,0,0.5,NS
RSVA,M2-2,A.D.3.7,4,,,,,,,
RSVA,M2-2,A.D.3.4,4,,,,,,,
RSVA,M2-2,A.D.3.3,8,2.474485254321962,0.1157073183376679,0.2079709628703476,NS,0,0.5,NS
RSVA,M2-2,A.D.3.2,3,,,,,,,
RSVA,M2-2,A.D.3.12,2,,,,,,,
RSVA,M2-2,A.D.3.10,0,,,,,,,
RSVA,M2-2,A.D.3.1,2,,,,,,,
RSVA,M2-2,A.D.3,10,0.01173241360788779,0.9137448196659187,0.9599008194676444,NS,0,0.5,NS
RSVA,M2-2,A.D.2.1,3,,,,,,,
RSVA,M2-2,A.D.1.9,10,0.2885026816522895,0.5911816485827727,0.7667816551791079,NS,4.24547644146287,0.05985170250167848,NS
RSVA,M2-2,A.D.1.8,1,,,,,,,
RSVA,M2-2,A.D.1.6,4,,,,,,,
RSVA,M2-2,A.D.1.5,9,0.01816260741202314,0.8927947394033237,1.074155254024932,NS,2.484844472945952,0.1443420545757342,NS
RSVA,M2-2,A.D.1.4,0,,,,,,,
RSVA,M2-2,A.D.1.11,2,,,,,,,
RSVA,M2-2,A.D.1.10,3,,,,,,,
RSVA,M2-2,A.D.1,3,,,,,,,
RSVA,M2-2,A.D,0,,,,,,,
RSVA,M2-1,A.D.5.2,24,0.589127151455159,0.4427568424929138,1.181866422778102,NS,0,0.5,NS
RSVA,M2-1,A.D.5.1,1,,,,,,,
RSVA,M2-1,A.D.3.9,12,0.1772993842250798,0.6737044535123766,1.220636805556006,NS,0,0.5,NS
RSVA,M2-1,A.D.3.7,3,,,,,,,
RSVA,M2-1,A.D.3.4,5,0.009954420617759752,0.9205254626725914,0.9582114775664792,NS,0.04218797129351515,0.4895634681827026,NS
RSVA,M2-1,A.D.3.3,12,0.1013951535605884,0.7501617757461376,0.8686355734845463,NS,0.5906865900110461,0.3721380186721173,NS
RSVA,M2-1,A.D.3.2,5,2.566758776201823,0.1091311267718329,0.1180251633364889,NS,0,0.5,NS
RSVA,M2-1,A.D.3.12,1,,,,,,,
RSVA,M2-1,A.D.3.10,0,,,,,,,
RSVA,M2-1,A.D.3.1,6,0.5412774461792651,0.461903793076334,14.93516310348962,NS,0,0.5,NS
RSVA,M2-1,A.D.3,12,0.5766855552924426,0.4476144179064723,1.238777095467948,NS,0,0.5,NS
RSVA,M2-1,A.D.2.1,3,,,,,,,
RSVA,M2-1,A.D.1.9,12,0.1832893694258928,0.6685615160578768,0.8743158399959036,NS,0,0.5,NS
RSVA,M2-1,A.D.1.8,1,,,,,,,
RSVA,M2-1,A.D.1.6,2,,,,,,,
RSVA,M2-1,A.D.1.5,12,3.469571751857529,0.0625074914692837,0.5369957053613182,NS,0,0.5,NS
RSVA,M2-1,A.D.1.4,2,,,,,,,
RSVA,M2-1,A.D.1.11,0,,,,,,,
RSVA,M2-1,A.D.1.10,3,,,,,,,
RSVA,M2-1,A.D.1,1,,,,,,,
RSVA,M2-1,A.D,0,,,,,,,
RSVA,M,A.D.5.2,24,0.2759561844850396,0.5993640098293325,1.253155268687462,NS,1.105411751744214,0.2876953830142782,NS
RSVA,M,A.D.5.1,1,,,,,,,
RSVA,M,A.D.3.9,6,0.5860627580777873,0.4439456772253959,11.60106031842212,NS,0,0.5,NS
RSVA,M,A.D.3.7,7,0.5816839731642176,0.445653013247546,12.44431777016965,NS,0,0.5,NS
RSVA,M,A.D.3.4,3,,,,,,,
RSVA,M,A.D.3.3,12,1.811521608657131,0.1783258064379385,9.309999286560958,NS,0,0.5,NS
RSVA,M,A.D.3.2,6,1.369417093173979,0.2419120604609777,0.7088466681214766,NS,0,0.5,NS
RSVA,M,A.D.3.12,2,,,,,,,
RSVA,M,A.D.3.10,0,,,,,,,
RSVA,M,A.D.3.1,3,,,,,,,
RSVA,M,A.D.3,18,0.3687272565857711,0.5436988409817565,0.8739207717907985,NS,0,0.5,NS
RSVA,M,A.D.2.1,3,,,,,,,
RSVA,M,A.D.1.9,9,1.180240000499907,0.2773071417042893,10.94061416457111,NS,0,0.5,NS
RSVA,M,A.D.1.8,1,,,,,,,
RSVA,M,A.D.1.6,7,0.8717609620016447,0.3504682608991484,18.24472276833711,NS,0,0.5,NS
RSVA,M,A.D.1.5,18,0.2865941947366082,0.5924113626043247,0.8727919673339121,NS,0,0.5,NS
RSVA,M,A.D.1.4,1,,,,,,,
RSVA,M,A.D.1.11,2,,,,,,,
RSVA,M,A.D.1.10,10,0.5789830461781094,0.4467112106861189,11.59428583063145,NS,0,0.5,NS
RSVA,M,A.D.1,3,,,,,,,
RSVA,M,A.D,0,,,,,,,
RSVA,L,A.D.5.2,53,0.114201589145523,0.735410471072259,0.9719459772181438,NS,0,0.5,NS
RSVA,L,A.D.5.1,1,,,,,,,
RSVA,L,A.D.3.9,32,1.738985886222508,0.1872673730346925,0.741623611876114,NS,0.02132177523162682,0.494697869120036,NS
RSVA,L,A.D.3.7,0,,,,,,,
RSVA,L,A.D.3.4,12,5.944564176177664,0.01476274099033903,0.6110647046396146,R-relaxed,0,0.5,NS
RSVA,L,A.D.3.2,15,0.6814840913430089,0.4090761506847383,1.103027865459901,NS,0,0.5,NS
RSVA,L,A.D.3.10,0,,,,,,,
RSVA,L,A.D.3.1,15,0.00670389155857265,0.9347442891834714,0.9858032637733477,NS,0.8597177208575886,0.3253004568796748,NS
RSVA,L,A.D.3,39,4.671891113692254,0.03066014883027157,1.165199290332378,R-intensified,0,0.5,NS
RSVA,L,A.D.2.1,4,,,,,,,
RSVA,L,A.D.1.9,32,4.077053050408722,0.04346941018166184,0.7791635623658583,R-relaxed,-0.00857308797276346,0.5,NS
RSVA,L,A.D.1.8,1,,,,,,,
RSVA,L,A.D.1.6,13,1.037068542340421,0.3085042328705269,0.8449012704878568,NS,0,0.5,NS
RSVA,L,A.D.1.4,6,2.643563423043815,0.1039701049422959,0,NS,0.5819893309017061,0.3737598328373636,NS
RSVA,L,A.D.1.11,1,,,,,,,
RSVA,L,A.D.1.10,20,0.9086740384082077,0.3404664803275385,1.206579959674452,NS,0,0.5,NS
RSVA,L,A.D.1,3,,,,,,,
RSVA,L,A.D,0,,,,,,,
RSVA,G,A.D.5.2,40,0.1459594558109529,0.702426944180089,0.8453876070366466,NS,0,0.5,NS
RSVA,G,A.D.5.1,0,,,,,,,
RSVA,G,A.D.3.9,19,1.115273220973904,0.2909385331581413,2.730395264566142,NS,0,0.5,NS
RSVA,G,A.D.3.7,15,0.3015039546535263,0.5829411089725939,1.967618977971015,NS,0,0.5,NS
RSVA,G,A.D.3.4,10,0.1666708357606694,0.683087650046987,1.666524285408306,NS,1.842369982718083,0.1990235395618805,NS
RSVA,G,A.D.3.3,39,-0.0003653367202787194,1,1.000001062582215,NS,0,0.5,NS
RSVA,G,A.D.3.2,12,1.391803771424748,0.2381007219618551,0.1468039799549202,NS,0,0.5,NS
RSVA,G,A.D.3.12,6,3.068947490308346,0.0798011224897116,2.395995474825243e-05,NS,-0.003887707360263448,0.5,NS
RSVA,G,A.D.3.10,0,,,,,,,
RSVA,G,A.D.3.1,12,1.102073246758664,0.293811563202079,0.1058441471218061,NS,0,0.5,NS
RSVA,G,A.D.3,35,0.5498866234174784,0.4583640234830859,0.2869886264451211,NS,0,0.5,NS
RSVA,G,A.D.2.1,5,1.643667306854695,0.1998230408210954,0,NS,0.5554770688686403,0.378747427215912,NS
RSVA,G,A.D.1.9,21,12.83172997711881,0.0003407905197686523,5.764445495498205,R-intensified,5.418792313879749,0.03328849832021824,B-diversifying
RSVA,G,A.D.1.8,1,,,,,,,
RSVA,G,A.D.1.6,13,2.054529309789359,0.151754144459767,0,NS,0.01452283891012485,0.4963824404764388,NS
RSVA,G,A.D.1.5,30,0.472854769344849,0.491676764550376,1.613274704218361,NS,0,0.5,NS
RSVA,G,A.D.1.4,4,,,,,,,
RSVA,G,A.D.1.11,2,,,,,,,
RSVA,G,A.D.1.10,14,2.410473415970046,0.120525912008585,50,NS,0,0.5,NS
RSVA,G,A.D.1,3,,,,,,,
RSVA,G,A.D,0,,,,,,,
RSVA,F,A.D.5.2,56,2.342249351704595,0.1259076315086342,2.73895813268462,NS,0.6207741403177351,0.366581557858595,NS
RSVA,F,A.D.5.1,2,,,,,,,
RSVA,F,A.D.3.9,13,2.909982656017746,0.08803282150000702,0.291146086722082,NS,0,0.5,NS
RSVA,F,A.D.3.7,8,0.1490295746771153,0.6994644616698942,1.285512526195876,NS,1.041720205017555,0.2970047095886719,NS
RSVA,F,A.D.3.4,9,0.3794299812761892,0.5379084587093459,3.157678793914987,NS,0,0.5,NS
RSVA,F,A.D.3.3,24,1.986133158734447,0.1587457795954264,2.210056223232328,NS,1.151901690745945,0.2810850388777129,NS
RSVA,F,A.D.3.2,10,0.004382704064482823,0.947217008951078,0.9599992185475575,NS,1.784849321165893,0.2048306290240197,NS
RSVA,F,A.D.3.12,6,0.4841926526787574,0.4865293298439874,0.3392235363128156,NS,-0.002160642234230181,0.5,NS
RSVA,F,A.D.3.10,0,,,,,,,
RSVA,F,A.D.3.1,14,1.447753724161885,0.228888728777015,1.661348198412516,NS,4.82638019128899,0.04476461586170333,B-diversifying
RSVA,F,A.D.3,32,0.6939538324240857,0.4048227828890596,1.401700763079684,NS,0,0.5,NS
RSVA,F,A.D.2.1,6,0.01420454367325874,0.9051305203141204,1.111100151341776,NS,0,0.5,NS
RSVA,F,A.D.1.9,24,1.050512040006652,0.305389188987778,2.467995216166869,NS,0.0505300212334987,0.4875257393955079,NS
RSVA,F,A.D.1.8,1,,,,,,,
RSVA,F,A.D.1.6,8,0.5659642538103071,0.451867086007251,0.2550639147015688,NS,0,0.5,NS
RSVA,F,A.D.1.5,26,0.5720482265296596,0.4494461518295357,0.494788515614913,NS,0,0.5,NS
RSVA,F,A.D.1.4,5,1.097809115857672,0.2947474150581904,0.1821147590429144,NS,-0.006994969837251119,0.5,NS
RSVA,F,A.D.1.11,2,,,,,,,
RSVA,F,A.D.1.10,12,3.601587124452635,0.05772443711025177,0.193597099150242,NS,0.3068588163150707,0.4288806565028821,NS
RSVA,F,A.D.1,3,,,,,,,
RSVA,F,A.D,0,,,,,,,
