target,gene,clade,n_tips,LR,p,K
RSVA,L,A.D.1.11,1,,,
RSVA,L,A.D.1.4,6,2.573013578090467,0.1087004778320118,0
RSVA,L,A.D.1.5,28,0.005042448538006283,0.9433896373740052,1.007189099487574
RSVA,L,A.D.1.6,13,1.040570744858996,0.3076887689661241,0.8454844567475264
RSVA,L,A.D.1.8,1,,,
RSVA,L,A.D.1.9,32,4.08034478299669,0.0433848052547825,0.7828743350654653
RSVA,L,A.D.2.1,4,,,
RSVA,L,A.D.3,39,4.670408145495458,0.03068663400089233,1.165435613230314
RSVA,L,A.D.3.1,15,0.006819321286457125,0.9341861551534434,0.9870755307369455
RSVA,L,A.D.3.10,0,,,
RSVA,L,A.D.3.12,5,4.516322008195857,0.03357293116229554,1.488969720938997
RSVA,L,A.D.3.2,15,0.6846539014150039,0.4079887616660882,1.107397048428993
RSVA,L,A.D.3.3,42,3.717809112247778,0.05383496579331382,0.8196291777277409
RSVA,L,A.D.3.4,12,5.943642040867417,0.01477046630124101,0.610682385396335
RSVA,L,A.D.3.7,0,,,
RSVA,L,A.D.3.9,32,1.757506546789955,0.1849358310119161,0.7838058430188156
RSVA,L,A.D.5.1,1,,,
RSVA,L,A.D.5.2,53,0.1143945493167848,0.7351954213796905,0.9741746810552427
RSVA,N,A.D,0,,,
RSVA,N,A.D.1,0,,,
RSVA,N,A.D.1.10,3,,,
RSVA,N,A.D.1.11,0,,,
RSVA,N,A.D.1.4,0,,,
RSVA,N,A.D.1.5,1,,,
RSVA,N,A.D.1.6,2,,,
RSVA,N,A.D.1.8,0,,,
RSVA,N,A.D.1.9,5,0.5628147430461468,0.4531283578625724,11.3434736665292
RSVA,N,A.D.2.1,3,,,
RSVA,N,A.D.3,3,,,
RSVA,N,A.D.3.1,0,,,
RSVA,N,A.D.3.10,0,,,
RSVA,N,A.D.3.12,2,,,
RSVA,N,A.D.3.2,2,,,
RSVA,N,A.D.3.3,4,,,
RSVA,N,A.D.3.4,1,,,
RSVA,N,A.D.3.7,1,,,
RSVA,N,A.D.3.9,1,,,
RSVA,N,A.D.5.1,0,,,
RSVA,N,A.D.5.2,3,,,
RSVA,P,A.D,0,,,
RSVA,P,A.D.1,4,,,
RSVA,P,A.D.1.10,4,,,
RSVA,P,A.D.1.11,1,,,
RSVA,P,A.D.1.4,1,,,
RSVA,P,A.D.1.5,14,0.8655217360355891,0.3521980722421671,3.038193185768263
RSVA,P,A.D.1.6,6,2.279081238704748,0.1311295329957037,14.49182587992981
RSVA,P,A.D.1.8,1,,,
RSVA,P,A.D.1.9,12,3.503705903937771,0.06123166591288176,0.1618636061012494
RSVA,P,A.D.2.1,3,,,
RSVA,P,A.D.3,14,2.703108468301252,0.100152805970633,7.247876178646099
RSVA,P,A.D.3.1,5,0.4318846296982883,0.511065635300636,0.2555246154058216
RSVA,P,A.D.3.10,0,,,
RSVA,P,A.D.3.12,3,,,
RSVA,P,A.D.3.2,5,1.562703867128221,0.211269760972091,0.2711673990467537
RSVA,P,A.D.3.3,15,0.8743472356136408,0.3497546148158652,0.2170380889328981
RSVA,P,A.D.3.4,6,1.56334809742566,0.2111756671002739,3.381513261548562
RSVA,P,A.D.3.7,5,5.680329838272883,0.01715614227390838,0
RSVA,P,A.D.3.9,8,2.55962274099511,0.1096247405795351,0
RSVA,P,A.D.5.1,1,,,
RSVA,P,A.D.5.2,29,1.315426746438789,0.2514144589783359,3.470968471501654
RSVA,M2-1,A.D,0,,,
RSVA,M2-1,A.D.1,1,,,
RSVA,M2-1,A.D.1.10,3,,,
RSVA,M2-1,A.D.1.11,0,,,
RSVA,M2-1,A.D.1.4,2,,,
RSVA,M2-1,A.D.1.5,12,3.469350892623424,0.06251583808942707,0.5372382316652206
RSVA,M2-1,A.D.1.6,2,,,
RSVA,M2-1,A.D.1.8,1,,,
RSVA,M2-1,A.D.1.9,12,0.1835351200265904,0.6683526523154095,0.8731483290110943
RSVA,M2-1,A.D.2.1,3,,,
RSVA,M2-1,A.D.3,12,0.5689823027987586,0.4506636057883692,1.238009261841344
RSVA,M2-1,A.D.3.1,6,0.5400962775875087,0.462392828683551,16.75403081694269
RSVA,M2-1,A.D.3.10,0,,,
RSVA,M2-1,A.D.3.12,1,,,
RSVA,M2-1,A.D.3.2,5,2.566632062785175,0.1091398704602019,0.1177269174162736
RSVA,M2-1,A.D.3.3,12,0.1002264878475216,0.751558008926253,0.8649695723907899
RSVA,M2-1,A.D.3.4,5,0.009940510160049598,0.9205808276630918,0.9599527557746199
RSVA,M2-1,A.D.3.7,3,,,
RSVA,M2-1,A.D.3.9,12,0.1733300792770933,0.677169061139186,1.215122746147824
RSVA,M2-1,A.D.5.1,1,,,
RSVA,M2-1,A.D.5.2,24,0.5819257415769243,0.4455584802046316,1.198994132217233
RSVA,M2-2,A.D,0,,,
RSVA,M2-2,A.D.1,3,,,
RSVA,M2-2,A.D.1.10,3,,,
RSVA,M2-2,A.D.1.11,2,,,
RSVA,M2-2,A.D.1.4,0,,,
RSVA,M2-2,A.D.1.5,9,0.01856012349480807,0.8916350769323729,1.074460969265648
RSVA,M2-2,A.D.1.6,4,,,
RSVA,M2-2,A.D.1.8,1,,,
RSVA,M2-2,A.D.1.9,10,0.2880050829326137,0.5915017652240292,0.7630314724651217
RSVA,M2-2,A.D.2.1,3,,,
RSVA,M2-2,A.D.3,10,0.01175628340342882,0.9136574633916091,0.9581821582618739
RSVA,M2-2,A.D.3.1,2,,,
RSVA,M2-2,A.D.3.10,0,,,
RSVA,M2-2,A.D.3.12,2,,,
RSVA,M2-2,A.D.3.2,3,,,
RSVA,M2-2,A.D.3.3,8,2.473925062407943,0.1157485529795533,0.2072001830882938
RSVA,M2-2,A.D.3.4,4,,,
RSVA,M2-2,A.D.3.7,4,,,
RSVA,M2-2,A.D.3.9,5,0.008570898384732573,0.9262379111959937,1.081022118382764
RSVA,M2-2,A.D.5.1,0,,,
RSVA,M2-2,A.D.5.2,16,1.568514897886189,0.2104228177255041,1.542131688787699
RSVA,M,A.D,0,,,
RSVA,M,A.D.1,3,,,
RSVA,M,A.D.1.10,10,0.5789858026691945,0.4467101287332386,20.28491362393136
RSVA,M,A.D.1.11,2,,,
RSVA,M,A.D.1.4,1,,,
RSVA,M,A.D.1.5,18,0.2864396775366913,0.5925111545266597,0.8732997026087123
RSVA,M,A.D.1.6,7,0.8725871475980966,0.3502400712523256,9.372971767276264
RSVA,M,A.D.1.8,1,,,
RSVA,M,A.D.1.9,9,1.177696158913022,0.2778255113729232,20.61064201969455
RSVA,M,A.D.2.1,3,,,
RSVA,M,A.D.3,18,0.3689304527288186,0.5435878409972625,0.8758048321965551
RSVA,M,A.D.3.1,3,,,
RSVA,M,A.D.3.10,0,,,
RSVA,M,A.D.3.12,2,,,
RSVA,M,A.D.3.2,6,1.370426279024286,0.2417386566442363,0.6634072941283572
RSVA,M,A.D.3.3,12,1.810987583993665,0.1783898053654462,12.15856599444271
RSVA,M,A.D.3.4,3,,,
RSVA,M,A.D.3.7,7,0.5811488121580624,0.4458623752883217,8.756536610018065
RSVA,M,A.D.3.9,6,0.5860828059239793,0.4439378836287807,9.491426454796528
RSVA,M,A.D.5.1,1,,,
RSVA,M,A.D.5.2,24,0.3517022042897224,0.5531511316335187,1.213225625881224
RSVA,SH,A.D,0,,,
RSVA,SH,A.D.1,1,,,
RSVA,SH,A.D.1.10,3,,,
RSVA,SH,A.D.1.11,0,,,
RSVA,SH,A.D.1.4,2,,,
RSVA,SH,A.D.1.5,8,4.669951421285759,0.03069479570123856,19.42116704848087
RSVA,SH,A.D.1.6,4,,,
RSVA,SH,A.D.1.8,1,,,
RSVA,SH,A.D.1.9,5,0.2076893353400919,0.6485845389187279,0.7839951163212334
RSVA,SH,A.D.2.1,2,,,
RSVA,SH,A.D.3,9,1.58024426062093,0.2087255133005006,0.5181342211569272
RSVA,SH,A.D.3.1,2,,,
RSVA,SH,A.D.3.10,0,,,
RSVA,SH,A.D.3.12,3,,,
RSVA,SH,A.D.3.2,1,,,
RSVA,SH,A.D.3.3,4,,,
RSVA,SH,A.D.3.4,1,,,
RSVA,SH,A.D.3.7,4,,,
RSVA,SH,A.D.3.9,5,3.942804947611876,0.04707222773928332,0
RSVA,SH,A.D.5.1,1,,,
RSVA,SH,A.D.5.2,8,0.6022632134686319,0.4377158082441791,0.6966424344497575
RSVA,NS1,A.D,0,,,
RSVA,NS1,A.D.1,1,,,
RSVA,NS1,A.D.1.10,3,,,
RSVA,NS1,A.D.1.11,1,,,
RSVA,NS1,A.D.1.4,1,,,
RSVA,NS1,A.D.1.5,6,1.102697806106789,0.2936748101394309,0.4372719006873487
RSVA,NS1,A.D.1.6,2,,,
RSVA,NS1,A.D.1.8,1,,,
RSVA,NS1,A.D.1.9,3,,,
RSVA,NS1,A.D.2.1,1,,,
RSVA,NS1,A.D.3,10,0.01185160679187902,0.9133094999280266,1.039413872722324
RSVA,NS1,A.D.3.1,2,,,
RSVA,NS1,A.D.3.10,0,,,
RSVA,NS1,A.D.3.12,2,,,
RSVA,NS1,A.D.3.2,6,2.537254530569044,0.1111879705832424,17.96495282206271
RSVA,NS1,A.D.3.3,7,1.676955596923563,0.1953294737558293,0.4185184799869843
RSVA,NS1,A.D.3.4,2,,,
RSVA,NS1,A.D.3.7,5,4.40399793263191,0.03585478354817151,0
RSVA,NS1,A.D.3.9,4,,,
RSVA,NS1,A.D.5.1,1,,,
RSVA,NS1,A.D.5.2,17,0.4852422999767896,0.4860573166425155,0.7586213824336133
RSVA,NS2,A.D,0,,,
RSVA,NS2,A.D.1,1,,,
RSVA,NS2,A.D.1.10,1,,,
RSVA,NS2,A.D.1.11,1,,,
RSVA,NS2,A.D.1.4,3,,,
RSVA,NS2,A.D.1.5,10,6.965682281135742,0.008308774460387358,0.1250531373063245
RSVA,NS2,A.D.1.6,7,0.6231203932670724,0.429890086483111,2.057336991677326
RSVA,NS2,A.D.1.8,1,,,
RSVA,NS2,A.D.1.9,12,0.0681467906429134,0.7940544098547022,1.235201171536215
RSVA,NS2,A.D.2.1,2,,,
RSVA,NS2,A.D.3,13,9.11199496115978,0.002539387745490895,0.1892812537822299
RSVA,NS2,A.D.3.1,1,,,
RSVA,NS2,A.D.3.10,0,,,
RSVA,NS2,A.D.3.12,3,,,
RSVA,NS2,A.D.3.2,8,5.005225133157637,0.02527091651050106,50
RSVA,NS2,A.D.3.3,8,4.563416970383969,0.03266184675321271,16.74686122922027
RSVA,NS2,A.D.3.4,2,,,
RSVA,NS2,A.D.3.7,4,,,
RSVA,NS2,A.D.3.9,5,0.2848230557478928,0.5935572998331806,0.0639524592346572
RSVA,NS2,A.D.5.1,0,,,
RSVA,NS2,A.D.5.2,19,4.412445767332883,0.03567765398209688,1.841110939068722
